date,AirKorea,SNU,NO3-,SO42-,NH4+,OC,As,Pb
2019-11-16,34,36.1865,,,,,0.00152,0.05453
2019-11-19,10,13.79599,,,,,0.00123,0.04659
2019-11-22,29,31.45442,8.268085802,1.72446737,2.844702763,0.158039042,0.00114,0.04793
2019-11-26,24,25.74809,6.717401965,1.969101113,2.914216176,0.161900899,0.00116,0.06346
2019-11-30,37,40.4463,13.5216957,1.797991173,4.768352798,0.264908489,0.00222,0.09107
2019-12-04,21,25.17523,,,,,,
2019-12-08,42,52.61372,,,,,0.00052,0.00803
2019-12-11,59,63.40492,18.76193763,4.819151062,7.559583704,0.419976872,,0.0034
2019-12-15,33,36.543,12.30521096,3.198953812,5.071805583,0.281766977,0.00096,0.04663
2019-12-17,24,28.46999,,,,,,
2019-12-19,13,18.4533,,,,,,
2019-12-21,31,35.24155,,,,,0.001661043,0.147450313
2019-12-24,56,62.99541,19.12955664,7.31896035,8.080934304,0.448940795,0.00108,0.05497
2019-12-27,22,27.11723,6.381866066,3.325949471,3.384768513,0.188042695,0.00123,0.07174
2020-01-01,28,33.86067,11.2130483,3.515774561,5.496906842,0.305383713,0.00117,0.06662
2020-01-06,32,37.19123,11.41490455,2.360782462,4.668093067,0.259338504,,
2020-01-08,23,26.30074,2.680276804,6.367161306,3.477007465,0.193167081,0.00074,0.05478
2020-01-12,22,26.58316,6.903216666,4.91272681,4.074555461,0.226364192,0.00124,0.0969
2020-01-15,27,33.08312,7.838974154,3.650790998,4.105301778,0.228072321,0.00117,0.0528
2020-01-20,24,25.8441,7.437935231,5.154686961,4.335230761,0.240846153,0.00221,0.09546
2020-01-22,37,42.22222,12.17554171,2.320678569,5.541021124,0.307834507,0.00079,0.03866
2020-01-25,42,48.37364,10.9320704,4.990428102,5.150843671,0.286157982,0.00066,0.02908
2020-01-30,10,13.82802,2.252084204,1.599142707,1.236954429,0.068719691,0.00139,0.1776
2020-02-01,56,51.75292,9.045934214,5.644622845,5.744882576,0.319160143,0.00137,0.05775
2020-02-04,18,19.18265,4.93904499,2.753382858,2.854895835,0.158605324,0.00119,0.0444
2020-02-07,22,26.3779,4.394572518,2.574944835,2.585599779,0.143644432,0.00148,0.05811
2020-02-12,35,40.70821,9.762791289,3.495304866,4.365058031,0.242503224,0.00343,0.11767
2020-02-14,66,74.8015,27.19310683,11.16916072,12.10972162,0.672762312,0.00096,0.04745
2020-02-18,13,18.75,6.583304575,1.674337505,2.79724649,0.155402583,0.0026,0.12135
2020-02-20,45,58.24972,20.04693318,3.265960732,7.119694135,0.395538563,0.00196,0.05978
2020-02-24,20,28.27692,6.929200647,2.267123163,3.46773344,0.192651858,0.00067,0.04255
2020-02-26,9,12.53656,2.135869565,1.518812709,1.190217391,0.066123188,0.00084,0.0341
2020-02-29,18,22.27792,7.340158796,2.877141663,3.174258253,0.176347681,0.00101,0.0617
2020-03-03,30,41.71882,11.47472619,3.962765861,5.299980021,0.294443334,0.00083,0.09916
2020-03-05,17,26.26094,2.508135169,6.418022528,3.341677096,0.185648728,0.00161,0.14764
2020-03-08,63,75.46644,15.23571935,1.666818025,5.867700746,0.325983375,0.00135,0.11846
