Date,PM2.5,SO42-,NO3-,Cl-,Na+,NH4+,K+,Mg2+,Ca2+,OC,EC,Si,S,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,As,Se,Br,Ba,Pb
2020-01-01 1:00,16 ,1.584357143,1.560408333,0.394242857,0.029845455,0.892083333,0.0524875,0.003914286,0.016435714,3.13866484,0.638005078,0.0089,1.037,0.1553,0.016158,0.004683,0.000607,0.000808,0.002766,0.086559,0.00005,0.003157,0.01552,0.004526,0.000094,0.002518,0.000195,0.019842
2020-01-01 2:00,16 ,1.594257143,1.759508333,0.403542857,0.032145455,0.885883333,0.0436875,0.003314286,0.018435714,3.55275684,0.720289478,0.0089,1.071,0.152184,0.02004,0.006398,0.000418,0.000945,0.003109,0.114963,0.00005,0.004755,0.016444,0.004465,0.000097,0.002555,0.00221,0.020428
2020-01-01 3:00,16 ,1.700857143,2.306308333,0.442742857,0.035945455,1.082983333,0.0427875,0.004714286,0.023235714,3.55068584,0.799694878,0.0089,1.081,0.183789,0.027224,0.006972,0.00006,0.000988,0.004018,0.127855,0.00005,0.005834,0.019367,0.003953,0.00023,0.002952,0.009302,0.025437
2020-01-01 4:00,18 ,1.742357143,2.463908333,0.487842857,0.038745455,1.179483333,0.0609875,0.005214286,0.025435714,3.25888784,0.793216078,0.0089,1.149,0.295322,0.026072,0.00864,0.00006,0.000648,0.004359,0.128823,0.00005,0.010374,0.021256,0.004115,0.00027,0.003101,0.021216,0.027802
2020-01-01 5:00,16 ,1.801757143,2.432308333,0.532642857,0.041345455,1.199483333,0.0953875,0.007914286,0.026235714,3.06721384,0.745153878,0.0089,1.093,0.312654,0.020851,0.0084,0.00006,0.000969,0.004075,0.12217,0.00005,0.010719,0.019395,0.003417,0.000129,0.003387,0.021091,0.021963
2020-01-01 6:00,20 ,1.900057143,2.570408333,0.520142857,0.044045455,1.233183333,0.1017875,0.009414286,0.024335714,2.85681684,0.639539378,0.0089,1.082,0.268028,0.021128,0.007848,0.00006,0.00059,0.003818,0.111629,0.00005,0.008085,0.018836,0.003675,0.000267,0.003263,0.013398,0.019257
2020-01-01 7:00,16 ,1.915057143,2.691108333,0.499042857,0.045745455,1.315183333,0.1018875,0.006614286,0.021135714,3.08637584,0.756624778,0.0089,1.15,0.202268,0.023444,0.006836,0.00006,0.001129,0.004699,0.10801,0.00005,0.006342,0.020885,0.004545,0.000261,0.003952,0.0087,0.019204
2020-01-01 8:00,15 ,2.010057143,3.215708333,0.514242857,0.047445455,1.522583333,0.0862875,0.004714286,0.022935714,2.90473384,0.821812878,0.0089,1.114,0.207383,0.025569,0.005688,0.000276,0.000714,0.00417,0.095984,0.00005,0.004546,0.023033,0.004398,0.000448,0.003966,0.007231,0.022586
2020-01-01 9:00,24 ,2.007457143,3.972708333,0.513342857,0.048045455,1.794783333,0.0878875,0.007114286,0.021135714,2.89422784,0.745441578,0.0089,1.246,0.205769,0.025166,0.006105,0.000874,0.000682,0.004849,0.108609,0.00005,0.006196,0.025598,0.004526,0.000504,0.005252,0.009426,0.021173
2020-01-01 10:00,24 ,2.003457143,4.923208333,0.537442857,0.048845455,2.131083333,0.0873875,0.011814286,0.019335714,3.04714984,0.798151978,0.0089,1.283,0.226969,0.028174,0.005978,0.000259,0.000838,0.005366,0.113217,0.00005,0.006422,0.059452,0.004735,0.000632,0.005306,0.010379,0.020924
2020-01-01 11:00,29 ,2.074257143,6.433408333,0.630242857,0.050645455,2.673583333,0.0905875,0.009414286,0.019035714,3.30308184,0.828088678,0.0208186,1.404,0.230917,0.02246,0.005158,0.00006,0.000946,0.005823,0.117574,0.000109,0.006887,0.032347,0.004776,0.000839,0.005627,0.013046,0.021726
2020-01-01 12:00,30 ,2.265657143,8.908508333,0.742542857,0.055345455,3.645783333,0.0865875,0.011214286,0.018535714,3.16149084,0.741477478,0.0089,1.419,0.228091,0.021901,0.006679,0.000772,0.000857,0.005776,0.121483,0.00018,0.006993,0.029616,0.004566,0.000839,0.005443,0.009672,0.020226
2020-01-01 13:00,30 ,2.355957143,10.07910833,0.839842857,0.063745455,4.188783333,0.0897875,0.013614286,0.018135714,3.22819284,0.745526878,0.0089,1.453,0.212005,0.021027,0.005961,0.000509,0.00077,0.00536,0.123456,0.000201,0.00693,0.028045,0.00397,0.000685,0.005316,0.009386,0.018388
2020-01-01 14:00,32 ,2.452757143,10.27860833,0.934542857,0.073645455,4.392283333,0.0881875,0.010914286,0.018335714,3.16536684,0.700321278,0.0089,1.57,0.194551,0.021834,0.006217,0.00006,0.000671,0.006979,0.145059,0.00005,0.005854,0.038035,0.004174,0.000781,0.005774,0.008292,0.017053
2020-01-01 15:00,34 ,2.664157143,10.08390833,1.063642857,0.088745455,4.535883333,0.0781875,0.013414286,0.019235714,3.56100684,0.774768978,0.0089,1.603,0.170762,0.021224,0.00502,0.000639,0.000871,0.005642,0.143455,0.0003,0.005342,0.027932,0.003795,0.000735,0.005496,0.006096,0.015158
