date,AirKorea,SNU,NO3-,SO42-,NH4+,K+,Na+,Cl-,F-,PO43-,Mg2+,Ca2+,OC,EC,Mg,Al,Si,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,As,Se,Pb
2019-11-16,34,36.1865,,,,,,,,,,,,,,9.397550924,1.17772577,0.03288,0.10211,0.23321,1.61656,0.85786,0.27165,0.06928,0.01156,0.00083,0.00211,0.01915,0.30453,0.00152,0.00847,0.05453
2019-11-19,10,13.79599,,,,,,,,,,,,,,3.484049021,0.528978436,0.15957,0.19344,0.44391,0.71938,0.6018,0.26785,0.13689,0.01276,0.00047,0.00255,0.01654,0.23539,0.00123,0.00186,0.04659
2019-11-22,29,31.45442,8.268085802,1.72446737,2.844702763,0.270032875,0.105606916,0.315483953,0.001336796,0.001336796,0.068176617,0.267359282,0.158039042,0.169282626,0.933580994,10.06474239,1.909353992,0.09597,0.27936,0.66812,1.05296,0.45478,0.44854,0.23541,0.02013,0.00053,0.00255,0.02123,0.44298,0.00114,0.00552,0.04793
2019-11-26,24,25.74809,6.717401965,1.969101113,2.914216176,0.191161887,0.08555497,0.657703834,0.004010389,0.001336796,0.034756707,0.140363623,0.161900899,0.149368133,1.083905218,7.204878605,1.332083681,0.03503,0.12455,0.33102,1.20137,0.79765,0.2909,0.06351,0.00921,0.00049,0.00332,0.0155,0.2244,0.00116,0.00832,0.06346
2019-11-30,37,40.4463,13.5216957,1.797991173,4.768352798,0.415743684,0.139026827,1.138950542,,0.001336796,0.029409521,0.165762755,0.264908489,0.255550016,1.036620907,11.58134009,1.537752195,0.05518,0.22929,0.57508,1.33553,1.56764,0.58985,0.13007,0.01961,0.00139,0.00466,0.0283,0.45883,0.00222,0.00676,0.09107
2019-12-04,21,25.17523,,,,,,,,,,,,,,6.309422686,0.830236804,,0.01446,,,,,,,,,,,,0.00012,
2019-12-08,42,52.61372,,,,,,,,,,,,,,10.9313255,0.811710094,,0.01992,0.02351,,0.01127,0.00792,0.02815,,,,,0.00619,0.00052,0.00018,0.00803
2019-12-11,59,63.40492,18.76193763,4.819151062,7.559583704,0.090902156,0.320831139,1.741845724,0.001336796,0.009357575,0.021388743,0.08555497,0.419976872,0.403010878,1.042098106,8.994954347,0.917178357,,0.01567,,,,,,,,,,,,0.00008,0.0034
2019-12-15,33,36.543,12.30521096,3.198953812,5.071805583,0.465205151,0.143037216,0.863570482,0.001336796,0.001336796,0.020051946,0.096249342,0.281766977,0.265116016,1.06280632,9.74138005,1.134849662,0.02314,0.09387,0.22377,1.63496,1.01967,0.39308,0.06476,0.00991,0.00081,0.00174,0.01163,0.2413,0.00096,0.00415,0.04663
2019-12-17,24,28.46999,,,,,,,,,,,,,,6.595622,0.68369753,,,,,,,,,,,,,,,
2019-12-19,13,18.4533,,,,,,,,,,,,,,5.256320729,0.806523389,,,,,,,,,,,,,,,
2019-12-21,31,35.24155,,,,,,,,,,,,,,9.737374441,0.948824604,0.030286525,0.191832123,0.55532282,4.418337622,1.013917397,0.525874677,0.09599466,0.016421794,0.000523988,0.004254785,0.029322386,0.348714226,0.001661043,0.003526441,0.147450313
2019-12-24,56,62.99541,19.12955664,7.31896035,8.080934304,0.376976588,0.112290899,0.371629402,0.001336796,0.001336796,0.012031168,0.100259731,0.448940795,0.461019577,0.97379985,10.6298616,0.962990959,0.04941,0.08604,0.17884,1.94836,0.78022,0.41437,0.06052,0.00692,0.00048,0.00192,0.01413,0.2096,0.00108,0.00274,0.05497
2019-12-27,22,27.11723,6.381866066,3.325949471,3.384768513,0.370292606,0.148384402,0.478573115,0.001336796,0.001336796,0.082881377,0.205866647,0.188042695,0.172223938,1.091849935,7.422446651,0.851086739,0.03613,0.14829,0.29047,2.10886,1.80191,0.23734,0.05307,0.00637,0.0005,0.00232,0.00849,0.14411,0.00123,0.00885,0.07174
