,OC,MF_OC,EC,MF_EC,ABS_ERROR_EC,ABS_ERROR_OC
41,3.84,3.84,1.5,1.5686000000000002,0.06860000000000022,0.0
641,4.47,4.7424,1.6,1.6,0.0,0.2724000000000002
692,3.42,3.670600000000002,1.1,1.1,0.0,0.25060000000000215
721,5.67,5.5265999999999975,1.53,1.53,0.0,0.14340000000000241
722,5.21,5.1495000000000015,1.55,1.55,0.0,0.060499999999998444
1722,2.02,1.8955000000000013,0.47,0.47,0.0,0.12449999999999872
1746,4.07,4.465499999999997,1.59,1.59,0.0,0.39549999999999663
1770,3.45,4.319800000000001,1.38,1.38,0.0,0.8698000000000006
1781,3.02,3.614699999999999,0.98,0.98,0.0,0.5946999999999991
1782,2.63,3.5979999999999976,1.14,1.14,0.0,0.9679999999999978
1799,2.51,3.1983000000000015,1.03,1.03,0.0,0.6883000000000017
1801,1.8,1.8,0.59,0.9068999999999998,0.31689999999999985,0.0
1853,4.09,4.3833,1.77,1.77,0.0,0.29330000000000034
1883,5.65,5.65,2.24,1.9894999999999996,0.2505000000000006,0.0
1947,5.47,7.130299999999998,2.62,2.62,0.0,1.6602999999999986
1948,5.89,6.7174999999999985,2.17,2.17,0.0,0.8274999999999988
1949,6.37,6.37,1.79,2.2632999999999983,0.4732999999999983,0.0
1992,5.38,5.1068,1.26,1.26,0.0,0.2732000000000001
2127,5.35,5.35,2.06,1.9144000000000003,0.14559999999999973,0.0
2128,5.24,5.24,2.17,1.8822000000000005,0.2877999999999994,0.0
2138,5.51,5.493900000000001,2.31,2.31,0.0,0.016099999999998893
2192,5.41,4.846700000000002,2.32,1.9568,0.36319999999999975,0.5632999999999981
2192,5.41,4.846700000000002,2.32,1.9568,0.36319999999999975,0.5632999999999981
2201,4.31,4.31,1.29,1.4723000000000008,0.1823000000000008,0.0
2205,3.42,3.42,2.27,1.7390999999999999,0.5309000000000001,0.0
2214,3.3,3.3,1.88,2.1441999999999997,0.26419999999999977,0.0
2284,3.54,3.6852,1.22,1.22,0.0,0.1452
2310,3.78,4.519399999999998,1.61,1.61,0.0,0.7393999999999985
2377,2.84,2.84,1.61,1.3455000000000006,0.2644999999999995,0.0
2385,2.83,2.83,1.58,1.7215000000000011,0.14150000000000107,0.0
2391,5.48,5.538799999999998,3.19,3.19,0.0,0.058799999999997965
2415,6.88,5.855800000000001,2.32,2.32,0.0,1.0241999999999987
2424,4.86,4.538300000000001,2.18,2.18,0.0,0.321699999999999
2723,4.28,4.28,2.91,2.784800000000003,0.1251999999999973,0.0
2760,2.56,3.169800000000001,0.78,0.78,0.0,0.6098000000000008
3059,3.07,3.6994000000000025,1.03,1.03,0.0,0.6294000000000026
3076,2.24,2.24,1.06,0.9013000000000002,0.15869999999999984,0.0
3083,2.26,3.159899999999999,0.77,0.77,0.0,0.8998999999999993
3086,2.3,2.3,0.39,0.7187,0.3287,0.0
3091,2.85,2.479500000000001,0.36,0.36,0.0,0.37049999999999894
3156,1.9,2.0891000000000006,0.52,0.52,0.0,0.1891000000000007
3168,2.29,2.29,1.2,1.1324999999999994,0.06750000000000056,0.0
3242,4.37,4.37,1.48,1.3656000000000006,0.11439999999999939,0.0
3249,4.72,4.7327,1.8,1.8,0.0,0.0127000000000006
3261,0.44,0.44,0.26,0.20749999999999996,0.05250000000000005,0.0
3264,0.25,0.25,0.2,0.22469999999999996,0.024699999999999944,0.0
3265,0.24,0.5275,0.38,0.38,0.0,0.2875
3270,2.23,2.23,0.61,0.6180999999999998,0.008099999999999774,0.0
3276,1.83,1.83,0.56,0.5673999999999997,0.007399999999999629,0.0
3299,4.53,4.53,2.18,2.0645000000000002,0.11549999999999994,0.0
3477,5.21,3.913299999999998,1.21,1.21,0.0,1.2967000000000022
3488,5.31,5.707400000000002,2.26,2.26,0.0,0.397400000000002
3500,5.98,5.875099999999999,2.17,2.17,0.0,0.10490000000000155
3509,5.34,5.461200000000002,1.82,1.82,0.0,0.12120000000000175
3522,5.67,5.903299999999999,3.44,3.44,0.0,0.23329999999999895
3580,2.71,2.71,2.0,1.8440000000000012,0.1559999999999988,0.0
3615,5.14,4.063200000000002,1.49,1.49,0.0,1.0767999999999978
3684,3.12,2.8563000000000005,0.97,0.97,0.0,0.2636999999999996
3686,5.42,3.819799999999997,0.95,0.95,0.0,1.6002000000000027
