,OC,MF_OC,EC,MF_EC,ABS_ERROR_EC,ABS_ERROR_OC
41,3.84,3.84,1.5,1.5686000000000002,0.06860000000000022,0.0
1801,1.8,1.8,0.59,0.9068999999999998,0.31689999999999985,0.0
1883,5.65,5.65,2.24,1.9894999999999996,0.2505000000000006,0.0
1949,6.37,6.37,1.79,2.2632999999999983,0.4732999999999983,0.0
2127,5.35,5.35,2.06,1.9144000000000003,0.14559999999999973,0.0
2128,5.24,5.24,2.17,1.8822000000000005,0.2877999999999994,0.0
2192,5.41,4.846700000000002,2.32,1.9568,0.36319999999999975,0.5632999999999981
2201,4.31,4.31,1.29,1.4723000000000008,0.1823000000000008,0.0
2205,3.42,3.42,2.27,1.7390999999999999,0.5309000000000001,0.0
2214,3.3,3.3,1.88,2.1441999999999997,0.26419999999999977,0.0
2377,2.84,2.84,1.61,1.3455000000000006,0.2644999999999995,0.0
2385,2.83,2.83,1.58,1.7215000000000011,0.14150000000000107,0.0
2723,4.28,4.28,2.91,2.784800000000003,0.1251999999999973,0.0
3076,2.24,2.24,1.06,0.9013000000000002,0.15869999999999984,0.0
3086,2.3,2.3,0.39,0.7187,0.3287,0.0
3168,2.29,2.29,1.2,1.1324999999999994,0.06750000000000056,0.0
3242,4.37,4.37,1.48,1.3656000000000006,0.11439999999999939,0.0
3261,0.44,0.44,0.26,0.20749999999999996,0.05250000000000005,0.0
3264,0.25,0.25,0.2,0.22469999999999996,0.024699999999999944,0.0
3270,2.23,2.23,0.61,0.6180999999999998,0.008099999999999774,0.0
3276,1.83,1.83,0.56,0.5673999999999997,0.007399999999999629,0.0
3299,4.53,4.53,2.18,2.0645000000000002,0.11549999999999994,0.0
3580,2.71,2.71,2.0,1.8440000000000012,0.1559999999999988,0.0
3693,2.67,2.67,0.64,0.754,0.11399999999999999,0.0
3727,1.47,1.47,1.62,1.2168,0.4032,0.0
3731,1.74,1.74,1.29,0.8291,0.4609000000000001,0.0
3743,2.37,2.37,1.7,1.4882999999999997,0.21170000000000022,0.0
3750,3.52,3.52,1.75,1.8810000000000004,0.13100000000000045,0.0
3889,2.31,2.31,0.46,0.8281000000000001,0.36810000000000004,0.0
3901,2.08,2.08,1.05,0.9458000000000003,0.10419999999999974,0.0
4016,1.2,1.2,0.9,0.5833000000000003,0.31669999999999976,0.0
4081,2.45,2.45,0.68,0.9533000000000001,0.2733000000000001,0.0
4082,3.06,3.06,0.77,0.9907000000000004,0.22070000000000034,0.0
4103,1.14,1.14,1.18,0.9226999999999999,0.2573000000000001,0.0
4119,5.03,5.03,2.46,2.0989999999999993,0.36100000000000065,0.0
4145,9.07,9.07,1.73,2.0981000000000005,0.36810000000000054,0.0
4147,8.52,8.52,1.3,1.9272999999999996,0.6272999999999995,0.0
4186,2.63,2.63,1.52,0.9616000000000001,0.5583999999999999,0.0
