,OC,MF_OC,EC,MF_EC,ABS_ERROR_EC,ABS_ERROR_OC
641,4.47,4.7424,1.6,1.6,0.0,0.2724000000000002
692,3.42,3.670600000000002,1.1,1.1,0.0,0.25060000000000215
721,5.67,5.5265999999999975,1.53,1.53,0.0,0.14340000000000241
722,5.21,5.1495000000000015,1.55,1.55,0.0,0.060499999999998444
1722,2.02,1.8955000000000013,0.47,0.47,0.0,0.12449999999999872
1746,4.07,4.465499999999997,1.59,1.59,0.0,0.39549999999999663
1770,3.45,4.319800000000001,1.38,1.38,0.0,0.8698000000000006
1781,3.02,3.614699999999999,0.98,0.98,0.0,0.5946999999999991
1782,2.63,3.5979999999999976,1.14,1.14,0.0,0.9679999999999978
1799,2.51,3.1983000000000015,1.03,1.03,0.0,0.6883000000000017
1853,4.09,4.3833,1.77,1.77,0.0,0.29330000000000034
1947,5.47,7.130299999999998,2.62,2.62,0.0,1.6602999999999986
1948,5.89,6.7174999999999985,2.17,2.17,0.0,0.8274999999999988
1992,5.38,5.1068,1.26,1.26,0.0,0.2732000000000001
2138,5.51,5.493900000000001,2.31,2.31,0.0,0.016099999999998893
2192,5.41,4.846700000000002,2.32,1.9568,0.36319999999999975,0.5632999999999981
2284,3.54,3.6852,1.22,1.22,0.0,0.1452
2310,3.78,4.519399999999998,1.61,1.61,0.0,0.7393999999999985
2391,5.48,5.538799999999998,3.19,3.19,0.0,0.058799999999997965
2415,6.88,5.855800000000001,2.32,2.32,0.0,1.0241999999999987
2424,4.86,4.538300000000001,2.18,2.18,0.0,0.321699999999999
2760,2.56,3.169800000000001,0.78,0.78,0.0,0.6098000000000008
3059,3.07,3.6994000000000025,1.03,1.03,0.0,0.6294000000000026
3083,2.26,3.159899999999999,0.77,0.77,0.0,0.8998999999999993
3091,2.85,2.479500000000001,0.36,0.36,0.0,0.37049999999999894
3156,1.9,2.0891000000000006,0.52,0.52,0.0,0.1891000000000007
3249,4.72,4.7327,1.8,1.8,0.0,0.0127000000000006
3265,0.24,0.5275,0.38,0.38,0.0,0.2875
3477,5.21,3.913299999999998,1.21,1.21,0.0,1.2967000000000022
3488,5.31,5.707400000000002,2.26,2.26,0.0,0.397400000000002
3500,5.98,5.875099999999999,2.17,2.17,0.0,0.10490000000000155
3509,5.34,5.461200000000002,1.82,1.82,0.0,0.12120000000000175
3522,5.67,5.903299999999999,3.44,3.44,0.0,0.23329999999999895
3615,5.14,4.063200000000002,1.49,1.49,0.0,1.0767999999999978
3684,3.12,2.8563000000000005,0.97,0.97,0.0,0.2636999999999996
3686,5.42,3.819799999999997,0.95,0.95,0.0,1.6002000000000027
3722,2.06,2.790699999999999,0.98,0.98,0.0,0.7306999999999988
3728,2.48,2.768700000000001,2.7,2.7,0.0,0.28870000000000084
3758,3.46,2.763300000000001,0.92,0.92,0.0,0.696699999999999
3790,1.02,1.3476000000000001,0.7,0.7,0.0,0.3276000000000001
3936,1.73,2.1542999999999997,0.47,0.47,0.0,0.4242999999999997
4036,2.51,3.1339999999999986,0.73,0.73,0.0,0.6239999999999988
4048,3.58,4.436299999999999,1.45,1.45,0.0,0.8562999999999992
4061,5.12,5.640100000000001,1.51,1.51,0.0,0.5201000000000011
4098,1.12,1.6251000000000007,0.36,0.36,0.0,0.5051000000000005
4216,3.58,2.906000000000002,0.69,0.69,0.0,0.6739999999999982
4256,4.07,3.1678000000000015,1.03,1.03,0.0,0.9021999999999988
4265,3.13,2.417799999999999,0.57,0.57,0.0,0.712200000000001
4271,2.85,2.0455999999999994,0.63,0.63,0.0,0.8044000000000007
4316,3.06,3.153,0.71,0.71,0.0,0.09299999999999997
4324,3.74,3.5646999999999998,1.81,1.6027000000000007,0.20729999999999937,0.17530000000000046
4325,2.94,3.1522,1.26,1.26,0.0,0.21220000000000017
4417,0.44,1.1109,0.14,0.14,0.0,0.6709
4582,2.39,3.131500000000001,0.9,0.9,0.0,0.7415000000000007
4625,14.35,10.242199999999999,2.76,2.76,0.0,4.107800000000001
4695,2.97,2.0826,0.26,0.26,0.0,0.8874000000000004
4766,1.45,2.3414000000000015,0.24,0.24,0.0,0.8914000000000015
4791,3.64,4.198399999999999,1.23,1.23,0.0,0.5583999999999985
4816,4.85,3.1762999999999995,0.91,0.91,0.0,1.6737000000000002
4868,3.45,4.2923,0.9,0.9,0.0,0.8422999999999998
4898,2.28,2.5275,0.77,0.77,0.0,0.24750000000000005
4924,1.54,1.6690999999999996,0.35,0.35,0.0,0.12909999999999955
4951,1.56,1.9500999999999993,0.91,0.91,0.0,0.3900999999999992
5041,4.45,3.7215000000000003,1.18,1.18,0.0,0.7284999999999999
5051,2.0,3.6308999999999996,1.44,1.44,0.0,1.6308999999999996
5128,2.78,1.6997000000000007,0.73,0.73,0.0,1.0802999999999991
5239,6.73,5.101,1.67,1.67,0.0,1.6290000000000004
5547,7.55,6.9605000000000015,1.4,1.4,0.0,0.5894999999999984
5614,4.34,3.8204000000000007,0.82,0.82,0.0,0.5195999999999992
5622,2.8,2.5696000000000003,0.74,0.74,0.0,0.2303999999999995
5811,2.34,2.9295999999999993,0.74,0.74,0.0,0.5895999999999995
5843,0.58,1.14,0.57,0.57,0.0,0.5599999999999999
5908,0.41,0.7486000000000003,0.16,0.16,0.0,0.3386000000000003
6080,0.82,2.922300000000001,1.17,1.17,0.0,2.102300000000001
6093,4.33,4.054999999999997,2.02,2.02,0.0,0.275000000000003
6172,1.23,3.2921999999999985,1.43,1.43,0.0,2.0621999999999985
6177,2.53,2.880100000000001,1.0,1.0,0.0,0.3501000000000012
6184,3.36,3.695500000000001,0.64,0.64,0.0,0.335500000000001
6215,3.76,3.256500000000001,1.48,1.48,0.0,0.503499999999999
6231,4.42,4.467100000000001,1.38,1.38,0.0,0.04710000000000125
6270,0.55,2.0754,0.05,0.05,0.0,1.5254
6383,7.34,6.9704000000000015,1.55,1.55,0.0,0.3695999999999984
6430,10.69,8.43430000000001,1.82,1.82,0.0,2.2556999999999903
6475,3.73,4.8206000000000016,0.96,0.96,0.0,1.0906000000000016
6580,3.65,3.833899999999998,1.21,1.21,0.0,0.18389999999999818
6613,3.25,3.1564999999999976,1.03,1.03,0.0,0.09350000000000236
6782,2.0,1.7757000000000005,0.33,0.33,0.0,0.2242999999999995
6959,4.28,4.5136,1.48,1.48,0.0,0.23360000000000003
6977,3.54,3.6988,1.07,1.07,0.0,0.15879999999999983
7040,4.75,6.3573,3.89,3.89,0.0,1.6073000000000004
7065,2.12,2.3085,0.83,0.83,0.0,0.1884999999999999
7084,1.57,1.7571000000000003,0.34,0.34,0.0,0.18710000000000027
7091,2.37,4.208499999999999,0.99,0.99,0.0,1.838499999999999
7100,3.7,2.8803,0.89,0.89,0.0,0.8197000000000001
7128,1.67,1.4542999999999995,0.22,0.22,0.0,0.21570000000000045
7149,2.42,2.538500000000001,0.74,0.74,0.0,0.11850000000000094
7152,2.72,1.8349999999999997,0.35,0.35,0.0,0.8850000000000005
7210,5.64,6.0212,2.31,2.31,0.0,0.38120000000000065
7226,4.88,3.1836,1.35,1.35,0.0,1.6963999999999997
7276,3.19,2.3613999999999997,0.36,0.36,0.0,0.8286000000000002
7328,1.96,2.376899999999999,0.68,0.68,0.0,0.41689999999999916
7413,4.88,4.975699999999999,1.72,1.72,0.0,0.09569999999999901
7533,3.77,3.5174999999999996,0.97,0.97,0.0,0.2525000000000004
7568,2.26,3.641600000000001,1.24,1.24,0.0,1.381600000000001
7574,3.09,3.6995999999999984,1.13,1.13,0.0,0.6095999999999986
7649,5.31,4.2406,1.48,1.48,0.0,1.0694
8097,3.84,4.6035,2.21,2.21,0.0,0.7635000000000005
8136,7.4,7.915100000000001,3.16,3.16,0.0,0.5151000000000003
