Type,ILCR_mean,ILCR_0.05,ILCR_0.25,ILCR_0.5,ILCR_0.75,ILCR_0.95,HQ_mean,HQ_0.05,HQ_0.25,HQ_0.5,HQ_0.75,HQ_0.95
"total, As",4.468309741467908e-06,8.087343625448148e-07,2.1459570118864847e-06,3.652012960484172e-06,5.939275112062061e-06,1.1723311790286165e-05,0.06927611997563433,0.012538517240227698,0.03327065132444547,0.056620355937983716,0.09208178462049561,0.18175677181878414
"total, Cr_6",2.039464147586027e-06,5.991396471986233e-07,1.0956842116580368e-06,1.9299675130848714e-06,2.582888279790946e-06,4.172405341197257e-06,0.03399106912398002,0.009985660785922872,0.01826140352631568,0.03216612521575916,0.04304813799340819,0.06954008901493428
"total, Cr_3",,,,,,,0.003965624731087488,0.0011649937583448852,0.0021304970780467855,0.003752714608464058,0.005022282765842515,0.008113010384986644
"total, Cu",,,,,,,0.0008518916299024685,6.7120572524609e-05,0.00024041309161088612,0.000571149856606911,0.001221793329819153,0.002397105137302542
"total, Ni",7.070826031403634e-08,1.9522544612893475e-08,4.657517668457985e-08,6.606476532883063e-08,8.976725828237117e-08,1.3028156047177866e-07,0.021044124668673128,0.005810281017505224,0.013861659447746437,0.019662132141448848,0.026716445378082626,0.03877427316724887
"total, Pb",6.917937168951249e-08,1.2896662007593251e-08,3.324460365128476e-08,6.060590212474908e-08,8.989944647979737e-08,1.7231379515388136e-07,0.03843298400632016,0.0071648121769207875,0.018469224123062913,0.03366994539214931,0.04994413658802971,0.09572988553495952
"total, Zn",,,,,,,1.108100803509297e-13,3.5522789770150424e-14,6.310633117688138e-14,9.72648494248269e-14,1.4323233349213035e-13,2.2336068325181016e-13
"total, V",,,,,,,0.0008678135780464316,0.00024394929617749302,0.0006017318408576221,0.0008198087151098384,0.0010268523645885921,0.001716041063804053
"total, Mn",,,,,,,0.07798506936054007,0.023378388271621163,0.050240092778323094,0.07304700221914573,0.09943717743596457,0.15124914796949637
"**Sum, total",6.647661521057484e-06,1.4402932163639247e-06,3.321461003880386e-06,5.708651141022623e-06,8.701830096615176e-06,1.619831248710908e-05,0.24641469707429492,0.06035372311928026,0.13707567321047198,0.22030923408676484,0.3184986104763742,0.5492763240917398
"salts, As",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
